,brand,ram,storage,battery,charging,price
262,Xiaomi,6.0,128.0,4500.0,18.0,6290000.0
263,Xiaomi,3.0,64.0,4000.0,18.0,4990000.0
264,Xiaomi,6.0,64.0,4000.0,18.0,7490000.0
265,Xiaomi,4.0,64.0,4030.0,18.0,5490000.0
266,OnePlus,6.0,128.0,4000.0,30.0,14490000.0
267,OnePlus,6.0,128.0,3700.0,20.0,10490000.0
268,OnePlus,8.0,128.0,3800.0,30.0,12490000.0
269,OnePlus,6.0,64.0,3300.0,20.0,8990000.0
270,Huawei,6.0,128.0,3650.0,22.5,12490000.0
271,Huawei,8.0,128.0,4200.0,40.0,14990000.0
272,Huawei,6.0,128.0,4200.0,40.0,13990000.0
273,Huawei,6.0,64.0,4000.0,22.5,9490000.0
274,LG,6.0,64.0,3300.0,18.0,9990000.0
275,LG,4.0,64.0,3000.0,18.0,8490000.0
276,Sony,4.0,64.0,3330.0,18.0,11490000.0
277,Sony,6.0,64.0,3540.0,18.0,9490000.0
278,Google,6.0,64.0,3700.0,18.0,12990000.0
279,Google,4.0,64.0,3430.0,18.0,9490000.0
280,Nokia,4.0,64.0,3800.0,18.0,7490000.0
281,Nokia,3.0,32.0,3000.0,18.0,5990000.0
282,Motorola,4.0,128.0,3600.0,15.0,7990000.0
283,Motorola,4.0,64.0,3000.0,18.0,6490000.0
284,Motorola,4.0,128.0,3500.0,15.0,7490000.0
285,Motorola,4.0,64.0,5000.0,18.0,6490000.0
286,HTC,4.0,64.0,3000.0,18.0,7490000.0
287,HTC,6.0,64.0,3500.0,18.0,9490000.0
288,ZTE,6.0,128.0,4000.0,18.0,9990000.0
289,Lenovo,6.0,128.0,4000.0,27.0,7490000.0
290,Lenovo,6.0,64.0,3350.0,18.0,6490000.0
291,Vivo,6.0,128.0,3700.0,18.0,9490000.0
292,Vivo,6.0,64.0,3400.0,18.0,7490000.0
293,Samsung,8.0,256.0,4000.0,25.0,14590000.0
294,Xiaomi,12.0,256.0,5000.0,67.0,10990000.0
295,Xiaomi,12.0,512.0,5000.0,67.0,10990000.0
296,Xiaomi,12.0,512.0,5000.0,67.0,11190000.0
297,Xiaomi,12.0,256.0,5000.0,120.0,14490000.0
298,Xiaomi,12.0,512.0,5000.0,120.0,14490000.0
299,OPPO,8.0,128.0,5100.0,45.0,5290000.0
300,OPPO,6.0,128.0,5100.0,45.0,4590000.0
301,OPPO,8.0,256.0,5100.0,45.0,5990000.0
302,Tecno,3.0,64.0,5000.0,15.0,1990000.0
303,OPPO,8.0,256.0,5000.0,45.0,7290000.0
304,vivo,6.0,128.0,5500.0,15.0,4290000.0
305,vivo,4.0,128.0,5500.0,15.0,3990000.0
306,vivo,8.0,128.0,5500.0,15.0,4590000.0
307,HONOR,8.0,512.0,4500.0,35.0,5690000.0
308,HONOR,6.0,128.0,5200.0,35.0,3590000.0
309,iPhone,4.0,128.0,3240.0,20.0,11990000.0
310,iPhone,4.0,512.0,3240.0,20.0,21990000.0
311,iPhone,4.0,64.0,2815.0,20.0,9990000.0
